id,Length,Height,Whole weight,Sex_I,Sex_M,DimensionsCluster,Rings
264,0.655,0.18,1.38,0,0,2,13
265,0.66,0.18,1.3915,0,0,2,10
266,0.64,0.155,1.1955,0,1,0,10
267,0.25,0.065,0.074,1,0,1,5
268,0.66,0.16,1.2495,0,1,2,10
269,0.66,0.18,1.5515,0,0,2,14
270,0.565,0.145,0.681,1,0,0,8
271,0.52,0.13,0.524,1,0,1,9
272,0.625,0.165,1.027,0,0,0,9
273,0.585,0.14,0.8145,0,0,0,11
274,0.5,0.165,0.8085,0,0,0,13
275,0.515,0.135,0.8145,1,0,0,9
276,0.395,0.12,0.3485,0,1,1,9
277,0.53,0.13,0.6385,1,0,0,8
278,0.575,0.14,0.963,0,1,0,9
279,0.575,0.155,1.155,0,1,0,9
280,0.455,0.115,0.4475,1,0,1,7
281,0.58,0.145,0.9905,0,0,0,11
282,0.665,0.19,1.496,0,1,2,11
283,0.52,0.16,0.872,0,1,0,11
284,0.565,0.18,1.185,0,0,0,15
285,0.605,0.145,0.9235,1,0,0,11
286,0.55,0.15,0.8115,1,0,0,9
287,0.5,0.125,0.5955,0,1,1,8
288,0.3,0.075,0.1115,1,0,1,6
289,0.21,0.04,0.0265,1,0,1,4
290,0.53,0.145,0.783,1,0,0,11
291,0.59,0.165,1.1005,0,1,0,13
292,0.305,0.07,0.1535,1,0,1,7
293,0.41,0.105,0.359,0,0,1,16
294,0.57,0.14,0.858,0,1,0,10
295,0.62,0.17,1.3475,0,1,2,12
296,0.28,0.06,0.1045,0,1,1,5
297,0.46,0.105,0.467,1,0,1,8
298,0.36,0.08,0.1755,1,0,1,7
299,0.61,0.155,1.053,0,1,0,8
300,0.64,0.175,1.3205,0,1,2,9
301,0.255,0.07,0.084,1,0,1,4
302,0.6,0.125,1.011,0,1,0,15
303,0.59,0.16,1.063,0,1,0,20
304,0.37,0.11,0.2305,1,0,1,7
305,0.555,0.15,0.8685,1,0,0,8
306,0.625,0.175,1.247,0,1,2,13
307,0.44,0.13,0.4405,0,0,1,11
308,0.275,0.07,0.0935,1,0,1,5
309,0.33,0.075,0.1895,1,0,1,7
310,0.545,0.115,0.639,0,1,0,8
311,0.5,0.12,0.6345,0,1,0,9
312,0.42,0.09,0.2975,1,0,1,7
313,0.29,0.08,0.1385,1,0,1,5
314,0.595,0.145,0.9815,0,1,0,10
315,0.515,0.135,0.636,1,0,0,8
316,0.415,0.1,0.4665,1,0,1,8
317,0.44,0.11,0.3835,0,1,1,8
318,0.325,0.075,0.152,1,0,1,6
319,0.5,0.125,0.5745,0,0,1,8
320,0.485,0.115,0.5195,1,0,1,7
321,0.775,0.205,2.032,0,0,2,20
322,0.695,0.165,1.74,0,0,2,11
323,0.58,0.15,0.875,0,0,0,10
324,0.57,0.14,0.873,0,1,0,8
325,0.57,0.145,0.9525,0,0,0,23
326,0.37,0.105,0.197,1,0,1,9
327,0.6,0.18,1.247,0,0,2,20
328,0.57,0.19,0.966,0,0,0,12
329,0.535,0.15,0.7665,1,0,0,8
330,0.595,0.16,1.0815,0,0,0,9
331,0.52,0.14,0.6955,0,1,0,10
332,0.695,0.185,1.5395,0,0,2,12
333,0.575,0.17,1.066,0,1,0,10
334,0.57,0.15,1.186,0,1,0,10
335,0.595,0.13,0.9165,0,1,0,9
336,0.505,0.12,0.7085,0,0,0,9
337,0.355,0.095,0.203,0,0,1,6
338,0.62,0.175,1.325,0,1,2,10
339,0.525,0.12,0.6905,1,0,0,8
340,0.585,0.165,0.9555,0,1,0,12
341,0.52,0.145,0.7145,0,0,0,8
342,0.575,0.145,0.9745,0,1,0,15
343,0.6,0.16,0.8875,0,1,0,9
344,0.31,0.075,0.12,1,0,1,5
345,0.415,0.1,0.2815,1,0,1,7
346,0.315,0.07,0.1375,1,0,1,7
347,0.295,0.085,0.1195,0,1,1,4
348,0.305,0.07,0.1485,1,0,1,6
349,0.155,0.025,0.0155,1,0,1,3
350,0.25,0.055,0.042,1,0,1,4
351,0.595,0.145,0.9615,0,0,0,14
352,0.7,0.185,1.5715,0,1,2,12
353,0.505,0.125,0.592,1,0,1,8
354,0.44,0.11,0.4135,0,1,1,9
355,0.6,0.165,1.0735,0,0,0,10
356,0.595,0.18,1.1215,0,0,0,13
357,0.35,0.075,0.1825,1,0,1,6
358,0.67,0.17,1.4385,0,1,2,11
359,0.575,0.17,1.073,0,0,0,15
360,0.47,0.105,0.4415,0,1,1,8
361,0.65,0.19,1.4635,0,0,2,20
362,0.65,0.175,1.5915,0,0,2,10
363,0.4,0.1,0.2875,1,0,1,7
364,0.385,0.1,0.281,1,0,1,8
365,0.36,0.09,0.226,1,0,1,6
366,0.555,0.15,0.958,0,0,0,12
367,0.525,0.14,0.741,1,0,0,18
368,0.61,0.135,0.834,0,1,0,8
369,0.66,0.165,1.2495,0,0,2,10
370,0.415,0.1,0.3245,1,0,1,7
371,0.365,0.09,0.257,1,0,1,6
372,0.52,0.155,0.6445,1,0,0,9
373,0.66,0.19,1.523,0,0,2,11
374,0.44,0.11,0.3645,0,1,1,9
375,0.21,0.045,0.045,1,0,1,4
376,0.415,0.095,0.2875,1,0,1,8
377,0.625,0.16,1.2125,0,0,2,9
378,0.52,0.135,0.6625,0,0,0,8
379,0.28,0.06,0.1165,1,0,1,5
380,0.635,0.16,0.9955,0,0,0,12
381,0.505,0.135,0.622,1,0,0,9
382,0.57,0.145,0.8745,0,0,0,16
383,0.585,0.145,0.9455,0,1,0,14
384,0.58,0.125,0.886,0,1,0,8
385,0.545,0.16,0.9185,0,0,0,11
386,0.47,0.145,0.5325,0,1,1,19
387,0.535,0.135,0.7365,0,0,0,7
388,0.585,0.145,0.955,0,1,0,11
389,0.545,0.14,0.9265,0,1,0,13
390,0.6,0.165,1.1345,0,1,0,16
391,0.285,0.055,0.0925,1,0,1,5
392,0.255,0.08,0.088,1,0,1,5
393,0.645,0.165,1.4385,0,1,2,15
394,0.36,0.09,0.1845,1,0,1,7
395,0.435,0.1,0.3645,1,0,1,8
396,0.27,0.07,0.1,1,0,1,6
397,0.47,0.13,0.4625,0,1,1,8
398,0.46,0.11,0.4595,1,0,1,13
399,0.615,0.155,1.0815,0,1,0,9
400,0.28,0.08,0.1115,1,0,1,7
401,0.62,0.16,1.0395,0,0,0,16
402,0.53,0.14,0.7355,0,0,0,9
403,0.625,0.165,1.217,0,1,2,9
404,0.515,0.11,0.572,1,0,1,8
405,0.275,0.065,0.095,1,0,1,5
406,0.42,0.115,0.335,1,0,1,6
407,0.66,0.2,1.369,0,0,2,12
408,0.335,0.08,0.1575,1,0,1,7
409,0.405,0.105,0.32,0,0,1,7
410,0.35,0.08,0.1775,1,0,1,6
411,0.465,0.125,0.4955,1,0,1,9
412,0.315,0.075,0.1315,1,0,1,9
413,0.38,0.1,0.3025,1,0,1,7
414,0.335,0.085,0.18,1,0,1,6
415,0.545,0.175,0.9685,0,1,0,15
416,0.39,0.09,0.3055,1,0,1,7
417,0.43,0.1,0.449,1,0,1,8
418,0.605,0.165,1.1885,0,1,0,11
419,0.6,0.18,1.2425,0,0,2,14
420,0.3,0.07,0.1445,1,0,1,5
421,0.66,0.175,1.3105,0,1,2,10
422,0.475,0.115,0.4755,1,0,1,9
423,0.295,0.08,0.1235,1,0,1,7
424,0.625,0.175,1.4355,0,1,2,9
425,0.675,0.18,1.4985,0,0,2,10
426,0.635,0.175,1.2435,0,1,2,10
427,0.52,0.125,0.6295,0,1,0,10
428,0.62,0.155,1.122,0,0,0,10
429,0.5,0.135,0.606,1,0,0,10
430,0.56,0.14,0.858,1,0,0,11
431,0.535,0.15,0.8415,1,0,0,9
432,0.57,0.15,0.8155,0,1,0,10
433,0.645,0.19,1.4095,0,0,2,10
434,0.63,0.15,1.0835,0,1,0,11
435,0.525,0.125,0.578,1,0,1,8
436,0.47,0.125,0.4795,1,0,1,9
437,0.58,0.155,1.0385,0,0,0,19
438,0.595,0.16,1.0565,0,0,0,13
439,0.4,0.085,0.2805,1,0,1,7
440,0.71,0.215,1.933,0,1,2,13
441,0.585,0.175,1.0515,0,1,0,9
442,0.495,0.135,0.7575,0,1,0,15
443,0.59,0.165,1.013,0,1,0,13
444,0.565,0.16,0.8295,1,0,0,8
445,0.49,0.135,0.5345,1,0,1,8
446,0.18,0.055,0.0275,1,0,1,4
447,0.385,0.1,0.262,1,0,1,7
448,0.515,0.145,0.6765,0,1,0,11
449,0.465,0.12,0.4155,0,1,1,8
450,0.57,0.135,0.832,0,0,0,14
451,0.49,0.11,0.474,0,1,1,8
452,0.615,0.16,1.1025,0,1,0,9
453,0.675,0.19,1.6705,0,1,2,10
454,0.535,0.155,0.6835,0,1,0,10
455,0.615,0.19,1.038,0,0,0,17
456,0.625,0.17,1.137,0,1,0,9
457,0.565,0.165,0.998,0,0,0,9
458,0.505,0.145,0.674,1,0,0,10
459,0.6,0.155,0.852,0,1,0,10
460,0.575,0.13,0.8975,0,0,0,13
461,0.525,0.13,0.7635,0,0,0,9
462,0.565,0.15,0.8285,0,1,0,13
463,0.44,0.115,0.407,0,0,1,9
464,0.53,0.13,0.7775,0,0,0,9
465,0.385,0.1,0.2985,1,0,1,8
466,0.37,0.095,0.34,1,0,1,6
467,0.705,0.205,1.6255,0,0,2,12
468,0.46,0.12,0.4195,0,0,1,7
469,0.635,0.155,1.36,0,1,2,10
470,0.285,0.055,0.101,1,0,1,6
471,0.605,0.15,1.0265,0,1,0,9
472,0.32,0.09,0.1515,1,0,1,6
473,0.575,0.16,0.966,0,1,0,9
474,0.375,0.095,0.1805,1,0,1,6
475,0.48,0.125,0.5305,0,1,1,8
476,0.325,0.07,0.1405,1,0,1,6
477,0.255,0.055,0.0835,1,0,1,4
478,0.42,0.1,0.3795,1,0,1,7
479,0.535,0.14,0.7275,1,0,0,10
480,0.655,0.175,1.5945,0,0,2,11
481,0.65,0.17,1.1785,0,0,0,10
482,0.615,0.18,1.0375,0,1,0,11
483,0.595,0.19,1.085,0,1,0,15
484,0.54,0.13,0.824,0,1,0,9
485,0.36,0.09,0.216,1,0,1,9
486,0.425,0.1,0.342,0,1,1,8
487,0.255,0.065,0.074,1,0,1,7
488,0.535,0.14,0.5965,1,0,0,8
489,0.71,0.16,1.5455,0,0,2,11
490,0.545,0.115,0.7485,1,0,0,8
491,0.56,0.155,0.9705,1,0,0,14
492,0.32,0.085,0.213,1,0,1,7
493,0.345,0.095,0.197,0,1,1,6
494,0.53,0.145,0.6935,0,1,0,8
495,0.62,0.17,1.2105,0,1,2,10
496,0.42,0.105,0.3645,1,0,1,10
497,0.18,0.035,0.0155,1,0,1,4
498,0.485,0.12,0.468,1,0,1,8
499,0.545,0.12,0.663,1,0,0,8
500,0.68,0.17,1.4465,0,1,2,11
501,0.585,0.15,1.0005,0,1,0,16
502,0.595,0.165,1.079,0,0,0,15
503,0.43,0.125,0.3565,0,0,1,8
504,0.565,0.135,0.8365,0,0,0,12
505,0.41,0.1,0.347,1,0,1,7
506,0.66,0.18,1.4065,0,1,2,11
507,0.495,0.115,0.51,0,0,1,10
508,0.375,0.09,0.3185,1,0,1,7
509,0.56,0.165,0.8605,0,0,0,15
510,0.565,0.17,0.957,0,1,0,11
511,0.435,0.11,0.4385,1,0,1,9
512,0.44,0.11,0.335,1,0,1,8
513,0.555,0.125,0.7335,1,0,0,8
514,0.515,0.13,0.612,1,0,0,9
515,0.575,0.135,0.873,1,0,0,9
516,0.525,0.135,0.6855,0,1,0,10
517,0.605,0.15,1.0405,0,1,0,11
518,0.235,0.055,0.0725,1,0,1,5
519,0.57,0.155,0.8615,1,0,0,10
520,0.255,0.07,0.104,1,0,1,6
521,0.625,0.14,1.1145,0,0,0,9
522,0.65,0.18,1.4875,0,0,2,10
523,0.515,0.135,0.717,0,0,0,12
524,0.555,0.135,0.7835,1,0,0,9
525,0.375,0.09,0.2745,1,0,1,7
526,0.36,0.085,0.196,1,0,1,8
527,0.255,0.075,0.134,1,0,1,5
528,0.37,0.1,0.2405,0,1,1,11
529,0.405,0.1,0.306,1,0,1,8
530,0.465,0.13,0.6355,1,0,0,9
531,0.685,0.19,1.5595,0,1,2,12
532,0.52,0.125,0.658,1,0,0,8
533,0.645,0.175,1.3305,0,0,2,10
534,0.62,0.13,1.081,1,0,0,9
535,0.585,0.175,1.0385,0,0,0,9
536,0.49,0.12,0.5755,0,0,1,12
537,0.415,0.115,0.2985,0,1,1,7
538,0.535,0.15,0.8415,0,0,0,12
539,0.24,0.055,0.0265,1,0,1,5
540,0.59,0.14,0.9885,0,1,0,10
541,0.53,0.14,0.6765,0,1,0,8
542,0.5,0.13,0.5815,1,0,1,8
543,0.59,0.15,1.0425,0,0,0,10
544,0.525,0.15,0.9685,1,0,0,9
545,0.605,0.175,1.218,0,0,2,10
546,0.535,0.13,0.6855,0,0,0,9
547,0.5,0.135,0.662,0,0,0,10
548,0.65,0.175,1.36,0,1,2,12
549,0.465,0.11,0.4915,1,0,1,7
550,0.685,0.165,1.57,0,1,2,11
551,0.525,0.14,0.6655,1,0,0,8
552,0.46,0.105,0.4255,0,0,1,9
553,0.325,0.06,0.106,1,0,1,6
554,0.425,0.095,0.3905,1,0,1,7
555,0.56,0.15,0.8395,0,1,0,10
556,0.395,0.095,0.308,1,0,1,6
557,0.575,0.135,0.814,0,1,0,8
558,0.565,0.16,0.8805,0,0,0,16
559,0.59,0.145,0.857,0,1,0,8
560,0.42,0.12,0.3245,1,0,1,8
561,0.625,0.175,1.206,0,0,2,9
562,0.505,0.135,0.6125,0,1,0,9
563,0.475,0.11,0.433,1,0,1,8
564,0.485,0.125,0.559,1,0,1,13
565,0.545,0.145,0.7745,0,0,0,15
566,0.475,0.12,0.4385,1,0,1,8
567,0.625,0.16,1.1045,0,1,0,9
568,0.52,0.145,0.6835,1,0,0,13
569,0.425,0.1,0.3595,1,0,1,7
570,0.565,0.125,0.7665,1,0,0,8
571,0.37,0.095,0.2295,1,0,1,7
572,0.66,0.19,1.6305,0,1,2,10
573,0.435,0.11,0.379,1,0,1,9
574,0.555,0.135,0.8115,0,1,0,9
575,0.485,0.115,0.594,1,0,1,8
576,0.625,0.185,1.352,0,0,2,21
577,0.53,0.145,0.9365,0,1,0,15
578,0.165,0.045,0.0385,1,0,1,5
579,0.56,0.135,0.77,0,1,0,9
580,0.58,0.16,1.1115,0,0,0,9
581,0.4,0.115,0.3045,0,1,1,6
582,0.665,0.17,1.5985,0,0,2,8
583,0.645,0.19,1.3,0,0,2,18
584,0.425,0.095,0.317,1,0,1,8
585,0.465,0.105,0.458,1,0,1,8
586,0.38,0.115,0.2225,1,0,1,9
587,0.575,0.14,0.844,0,1,0,10
588,0.58,0.165,1.142,0,1,0,10
589,0.61,0.17,1.2415,0,0,2,10
590,0.54,0.165,0.8345,0,1,0,9
591,0.46,0.125,0.4645,1,0,1,9
592,0.535,0.145,0.6765,1,0,0,10
593,0.25,0.06,0.082,1,0,1,7
594,0.36,0.095,0.219,1,0,1,8
595,0.375,0.08,0.282,1,0,1,8
596,0.67,0.2,1.7395,0,1,2,10
597,0.62,0.125,1.0375,0,1,0,14
598,0.485,0.13,0.5705,0,1,1,12
599,0.38,0.1,0.228,0,1,1,8
600,0.465,0.135,0.5185,1,0,1,12
601,0.655,0.165,1.3445,0,0,2,10
602,0.535,0.145,0.732,0,1,0,10
603,0.575,0.145,1.0035,0,1,0,10
604,0.6,0.15,1.122,0,1,0,10
605,0.52,0.125,0.5585,1,0,1,8
606,0.535,0.145,0.8605,0,1,0,13
607,0.545,0.15,0.7455,1,0,0,12
608,0.465,0.105,0.4415,1,0,1,8
609,0.55,0.13,0.8395,0,0,0,11
610,0.315,0.07,0.131,1,0,1,8
611,0.475,0.105,0.547,0,1,1,10
612,0.735,0.23,2.033,0,1,2,12
613,0.53,0.18,0.7155,0,0,0,15
614,0.64,0.155,1.229,0,1,2,11
